ins_code,isin,cisin,l18,l30
66862855436943996,IRR3FAAZ0101,IRR3FAAZ0102,زفکاح,ح . کشت و دامداری فکا
71290297158948749,IRO3GAHZ0001,IRO3GAHZ0002,زقیام,کشت و دام قیام اصفهان
4507558419857064,IRO3MACZ0001,IRO3MACZ0009,زماهان,مجتمع تولید گوشت مرغ ماهان
64795751499397128,IRTKZOMR0001,IRTKZOMR0006,زمرد,صندوق س.پشتوانه طلا زمرد بیدار
57191287546444240,IRT1ZMRD0001,IRT1ZMRD0000,زمرد کوروش,صندوق س زمرد کوروش-ثابت
14916489896692147,IRO3MAHZ0001,IRO3MAHZ0004,زملارد,کشاورزی و دامپروری ملارد شیر
57789973477176391,IRR3MAHZ0101,IRR3MAHZ0106,زملاردح,ح.کشاورزی و دامپروری ملارد شیر
5054819322815158,IRO1MAGS0001,IRO1MAGS0006,زمگسا,کشاورزی‌ ودامپروی‌ مگسال‌
12303918642491681,IRO7ZNJP0001,IRO7ZNJP0000,زنجان,صنایع کشاورزی وکود زنجان
11385948838337592,IRR7ZNJP0101,IRR7ZNJP0102,زنجانح,ح. صنایع کشاورزی وکود زنجان
67170215467608124,IRO3ZAGZ0001,IRO3ZAGZ0000,زنگان,صنعت روی زنگان
33420285433308219,IRO1ZPRS0001,IRO1ZPRS0001,زپارس,ملی کشت و صنعت و دامپروری پارس
7300125658580126,IRO3IKAZ0001,IRO3IKAZ0005,زکشت,کشاورزی مکانیزه اصفهان کشت
42599305106713939,IRO1KOSR0001,IRO1KOSR0009,زکوثر,سرمایه گذاری کشاورزی کوثر
10024128313803797,IRO3GDSZ0001,IRO3GDSZ0006,زگلدشت,کشت و دام گلدشت نمونه اصفهان
58844198664910839,IRR3GDSZ0101,IRR3GDSZ0108,زگلدشتح,ح.کشت و دام گلدشت نمونه اصفهان
28551661889797217,IRT1ZITN0001,IRT1ZITN0002,زیتون,صندوق س زیتون نماد پایا- مختلط
70883594945615893,IRO1ABIK0001,IRO1ABIK0005,سآبیک,سیمان آبیک
62708526880913292,IRT3SELF0001,IRT3SELF0001,ساحل,ص.ساحل سرمایه امن خلیج فارس-د
64155926828410021,IRO7AZRP0001,IRO7AZRP0005,ساذری,آذریت‌
43341623113615869,IRR7AZRP0101,IRR7AZRP0107,ساذریح,ح . آذریت‌
4563413583000719,IRO1SDAB0001,IRO1SDAB0002,ساراب,سیمان‌ داراب‌
34890845654517313,IRO1SADB0001,IRO1SADB0002,ساربیل,سیمان آرتا اردبیل
25417476013479486,IRO3SRBZ0001,IRO3SRBZ0005,ساروج,بین المللی ساروج بوشهر
15949743338644220,IRO1SURO0001,IRO1SURO0007,ساروم,سیمان‌ارومیه‌
14983273215576895,IRR1SURO0101,IRR1SURO0109,سارومح,ح . سیمان‌ارومیه‌
55308018877404137,IRT3SAMF0001,IRT3SAMF0004,سام,صندوق س.درآمد ثابت سام-د
22312990497291517,IRO3BSAP0001,IRO3BSAP0006,سامان,بانک سامان
71591568822900804,IRR7BSAP0101,IRR7BSAP0104,سامانح,ح. بانک سامان
32347247706508046,IRO3SACZ0001,IRO3SACZ0003,ساوه,سیمان ساوه
62558705479545830,IRO7IRNP0001,IRO7IRNP0001,سایرا,ایرانیت‌
64298008532791199,IRO3SYNZ0001,IRO3SYNZ0002,ساینا,صنایع بهداشتی ساینا
60480450687826144,IRR3SYNZ0101,IRR3SYNZ0104,سایناح,ح.صنایع بهداشتی ساینا
61310599391543522,IRO3CBBP0001,IRO3CBBP0003,سباقر,سیمان باقران
66295665969375744,IRO1SBOJ0001,IRO1SBOJ0000,سبجنو,سیمان‌ بجنورد
611986653700161,IRO3SBZZ0001,IRO3SBZZ0005,سبزوا,سیمان لار سبزوار
32525655729432562,IRO1SBHN0001,IRO1SBHN0003,سبهان,سیمان‌ بهبهان‌
38845574746937458,IRT3STRF0001,IRT3STRF0008,ستاره,ص.س.ستاره پایدارسپهر-د
30829203706095076,IRO1STEH0001,IRO1STEH0004,ستران,سیمان‌ تهران‌
28328083629154916,IRO3SASP0001,IRO3SASP0007,سجام,مجتمع سیمان غرب آسیا
18982971907252877,IRR7SASP0101,IRR7SASP0105,سجامح,ح.مجتمع سیمان غرب آسیا
51200575796028449,IRTKSAHR0001,IRTKSAHR0008,سحرخیز,صندوق س. گروه زعفران سحرخیز
4470657233334072,IRO1SKHS0001,IRO1SKHS0007,سخاش,سیمان‌خاش‌
15467183288337240,IRR1SKHS0101,IRR1SKHS0109,سخاشح,ح . سیمان‌خاش‌
67327029014085707,IRO1SKAZ0001,IRO1SKAZ0005,سخزر,سیمان‌ خزر
59598536122397373,IRT3SSNF0001,IRT3SSNF0003,سخند,صندوق س.سپهرخبرگان نفت-د
55959112038778737,IRO7SEKP0001,IRO7SEKP0007,سخواف,سیمان مجد خواف
41974758296041288,IRO1KHOC0001,IRO1KHOC0009,سخوز,سیمان خوزستان
64341992373049080,IRO3DBRZ0001,IRO3DBRZ0002,سدبیر,س. تدبیرگران فارس وخوزستان
27000326841257664,IRO1SDST0001,IRO1SDST0002,سدشت,صنایع سیمان دشتستان
